lang_code
ab
aa
af
ak
sq
de
am
en
ar
an
hy
as
av
ae
ay
az
ba
bm
eu
bn
dz
be
bh
my
bi
nb
bs
br
bg
ca
ch
zh
ko
kw
co
cr
hr
da
es
eo
et
ee
fo
fj
fi
fr
fy
gd
gl
om
cy
lg
ka
gu
el
kl
gn
ht
ha
he
hz
hi
ho
hu
io
ig
id
ia
ie
iu
ik
ga
is
it
ja
jv
kn
kr
ks
kk
km
ki
ky
kv
kg
ku
kj
lo
la
lv
li
ln
lt
lu
lb
mk
ms
ml
dv
mg
mt
gv
mi
mr
mh
mo
mn
na
nv
nd
nr
ng
nl
ne
no
ny
nn
oc
oj
or
os
ug
ur
uz
ps
pi
pa
fa
ff
pl
pt
qu
rm
ro
rn
ru
rw
se
sm
sg
sa
sc
sr
sh
tn
sn
sd
si
cu
sk
sl
so
st
su
sv
sw
ss
tg
tl
ty
ta
tt
cs
ce
cv
te
th
bo
ti
to
ts
tr
tk
tw
uk
ve
vi
vo
wa
wo
xh
ii
yi
yo
za
zu
